,수치,비율,시도,YEAR,전년대비증가율
폐업,8315.0,12.622199283502338,인천,2018,0.0
휴업,137.0,0.20796648248223937,인천,2018,0.0
총합,65876.0,100.0,인천,2018,0.0
관심,1674.0,3.134127162435408,전남,2018,0.0
관찰1,972.0,1.8198157717366885,전남,2018,0.0
관찰2,3080.0,5.766494420729424,전남,2018,0.0
관찰3,974.0,1.8235602486332658,전남,2018,0.0
부도,0.0,0.0,전남,2018,0.0
정상,42407.0,79.39601587658204,전남,2018,0.0
폐업,4224.0,7.908335205571781,전남,2018,0.0
휴업,81.0,0.1516513143113907,전남,2018,0.0
총합,53412.0,100.0,전남,2018,0.0
관심,1494.0,2.763493766416337,전북,2018,0.0
관찰1,1618.0,2.992860049572713,전북,2018,0.0
관찰2,4459.0,8.247937553179682,전북,2018,0.0
관찰3,1217.0,2.2511190854944325,전북,2018,0.0
부도,5.0,0.009248640449853872,전북,2018,0.0
정상,40483.0,74.88254226628686,전북,2018,0.0
폐업,4728.0,8.745514409381821,전북,2018,0.0
휴업,58.0,0.10728422921830491,전북,2018,0.0
총합,54062.0,100.0,전북,2018,0.0
관심,626.0,2.9572940287226004,제주,2018,0.0
관찰1,464.0,2.1919879062736203,제주,2018,0.0
관찰2,907.0,4.284769463340892,제주,2018,0.0
관찰3,341.0,1.6109221466364323,제주,2018,0.0
부도,0.0,0.0,제주,2018,0.0
정상,17119.0,80.87207105064248,제주,2018,0.0
폐업,1666.0,7.87037037037037,제주,2018,0.0
휴업,45.0,0.21258503401360546,제주,2018,0.0
총합,21168.0,100.0,제주,2018,0.0
관심,1354.0,2.347596920729593,충남,2018,0.0
관찰1,2017.0,3.497121853110479,충남,2018,0.0
관찰2,4761.0,8.254733337956862,충남,2018,0.0
관찰3,871.0,1.5101602052846936,충남,2018,0.0
부도,0.0,0.0,충남,2018,0.0
정상,43172.0,74.85262500866912,충남,2018,0.0
폐업,5390.0,9.345308273805395,충남,2018,0.0
휴업,111.0,0.1924544004438588,충남,2018,0.0
총합,57676.0,100.0,충남,2018,0.0
관심,1063.0,2.5577478344562077,충북,2018,0.0
관찰1,1197.0,2.8801732435033687,충북,2018,0.0
관찰2,2845.0,6.845524542829644,충북,2018,0.0
관찰3,821.0,1.9754571703561117,충북,2018,0.0
부도,10.0,0.024061597690086624,충북,2018,0.0
정상,31722.0,76.32820019249277,충북,2018,0.0
폐업,3845.0,9.251684311838305,충북,2018,0.0
휴업,57.0,0.13715110683349374,충북,2018,0.0
총합,41560.0,100.0,충북,2018,0.0
관심,703.0,2.0820376129127793,강원,2019,-0.6347035568914139
관찰1,1038.0,3.0741892492225675,강원,2019,-0.18715936250065868
관찰2,2160.0,6.39715681919147,강원,2019,0.19870564498004928
관찰3,610.0,1.8066044720864802,강원,2019,-0.1073916243688493
부도,26.0,0.07700281356434177,강원,2019,0.001450336072684022
정상,26498.0,78.47771360876648,강원,2019,0.8632830855655698
폐업,2647.0,7.839478750185103,강원,2019,-0.16908386393061825
휴업,83.0,0.24581667407078336,강원,2019,0.034899341073238804
총합,33765.0,100.0,강원,2019,0.0
관심,6533.0,1.7549939288439014,경기,2019,-0.3604969143214032
관찰1,11481.0,3.0842010251120207,경기,2019,-0.10716478087356052
관찰2,34509.0,9.270333000225655,경기,2019,0.5718357692298053
관찰3,8098.0,2.175408056907686,경기,2019,0.10382469642725356
부도,78.0,0.02095354759678927,경기,2019,-0.009356779159864131
정상,271478.0,72.92855377539946,경기,2019,0.12314890591798644
폐업,39213.0,10.533993101447408,경기,2019,-0.36242773052857125
