시도,업종코드_10차_변형,기업수,증가율,설립일자
경기,"창작, 예술 및 여가관련 서비스업",28,0.0,2018
경기,출판업,389,0.0,2018
경기,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",31,0.0,2018
경기,"펄프, 종이 및 종이제품 제조업",18,0.0,2018
경기,"폐기물 수집, 운반, 처리 및 원료 재생업",29,0.0,2018
경기,"하수, 폐수 및 분뇨 처리업",1,0.0,2018
경기,협회 및 단체,29,0.0,2018
경기,화학 물질 및 화학제품 제조업; 의약품 제외,147,0.0,2018
경기,환경 정화 및 복원업,1,0.0,2018
경남,1차 금속 제조업,11,0.0,2018
경남,가구 제조업,3,0.0,2018
경남,"가죽, 가방 및 신발 제조업",1,0.0,2018
경남,개인 및 소비용품 수리업,3,0.0,2018
경남,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",13,0.0,2018
경남,고무 및 플라스틱제품 제조업,9,0.0,2018
경남,교육 서비스업,13,0.0,2018
경남,금속 가공제품 제조업; 기계 및 가구 제외,39,0.0,2018
경남,금융업,2,0.0,2018
경남,기타 개인 서비스업,4,0.0,2018
경남,기타 기계 및 장비 제조업,45,0.0,2018
경남,기타 운송장비 제조업,38,0.0,2018
경남,"기타 전문, 과학 및 기술 서비스업",6,0.0,2018
경남,기타 제품 제조업,8,0.0,2018
경남,농업,31,0.0,2018
경남,도매 및 상품 중개업,186,0.0,2018
경남,목재 및 나무제품 제조업; 가구 제외,2,0.0,2018
경남,보건업,1,0.0,2018
경남,부동산업,67,0.0,2018
경남,비금속 광물제품 제조업,3,0.0,2018
경남,사업 지원 서비스업,16,0.0,2018
경남,사업시설 관리 및 조경 서비스업,16,0.0,2018
경남,산업용 기계 및 장비 수리업,3,0.0,2018
경남,소매업; 자동차 제외,47,0.0,2018
경남,숙박업,5,0.0,2018
경남,스포츠 및 오락관련 서비스업,8,0.0,2018
경남,식료품 제조업,21,0.0,2018
경남,어업,3,0.0,2018
경남,연구개발업,7,0.0,2018
경남,영상ㆍ오디오 기록물 제작 및 배급업,2,0.0,2018
경남,우편 및 통신업,1,0.0,2018
경남,육상 운송 및 파이프라인 운송업,26,0.0,2018
경남,음식점 및 주점업,12,0.0,2018
경남,"의료, 정밀, 광학 기기 및 시계 제조업",3,0.0,2018
경남,의료용 물질 및 의약품 제조업,1,0.0,2018
경남,"의복, 의복 액세서리 및 모피제품 제조업",2,0.0,2018
경남,임대업; 부동산 제외,9,0.0,2018
경남,임업,2,0.0,2018
경남,자동차 및 부품 판매업,7,0.0,2018
경남,자동차 및 트레일러 제조업,31,0.0,2018
경남,"전기, 가스, 증기 및 공기 조절 공급업",30,0.0,2018
경남,전기장비 제조업,13,0.0,2018
경남,전문 서비스업,24,0.0,2018
경남,전문직별 공사업,73,0.0,2018
경남,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",15,0.0,2018
경남,정보서비스업,5,0.0,2018
