설립일자,시도,신설법인수,청년인구수,인구대비신설법인수
2018,강원,541,358469,0.0015091960532152013
2018,경기,7153,3698625,0.0019339619453175166
2018,경남,959,835415,0.0011479324647031715
2018,경북,988,619667,0.0015944047367376349
2018,광주,1146,406163,0.0028215273178502226
2018,대구,909,648823,0.001400998423298804
2018,대전,772,422995,0.001825080674712467
2018,부산,1445,899448,0.0016065409006412823
2018,서울,11463,2998560,0.003822834960781175
2018,세종,176,92412,0.0019045145652079817
2018,울산,339,319567,0.0010608104090847929
2018,인천,1373,843463,0.0016278129568220538
2018,전남,931,411745,0.00226110821017863
2018,전북,754,425428,0.0017723328036706564
2018,제주,382,169441,0.0022544720581205257
2018,충남,889,537386,0.0016543043547840844
2018,충북,655,406509,0.0016112804390554698
2019,강원,507,351771,0.0014412785590625719
2019,경기,8498,3696522,0.0022989177394318228
2019,경남,1003,810243,0.0012379002348678113
2019,경북,955,601357,0.0015880749704418507
2019,광주,1114,400391,0.002782280320986236
2019,대구,975,629627,0.0015485358791792602
2019,대전,750,413109,0.001815501477818203
2019,부산,1554,871859,0.0017823983006426498
2019,서울,11970,2966582,0.00403494661533037
2019,세종,204,97804,0.002085804261584393
2019,울산,328,308880,0.0010619010619010618
2019,인천,1543,828797,0.001861734538131774
2019,전남,862,400334,0.002153202076266318
2019,전북,882,411844,0.0021415875914181097
2019,제주,380,166985,0.00227565350181154
2019,충남,948,524990,0.0018057486809272558
2019,충북,616,400285,0.0015389035312339957
2020,강원,650,346364,0.0018766384497234123
2020,경기,10260,3715307,0.002761548372718594
2020,경남,1104,777994,0.0014190340799543442
2020,경북,1008,575280,0.0017521902377972466
2020,광주,1141,395242,0.0028868389493019466
2020,대구,1030,615844,0.0016725014776469366
2020,대전,892,406576,0.0021939317618354256
2020,부산,1781,850001,0.002095291652598056
2020,서울,12277,2935517,0.004182227525849791
2020,세종,217,98945,0.002193137601697913
2020,울산,387,296274,0.001306223293302821
2020,인천,1765,807692,0.0021852389277100676
2020,전남,887,386773,0.002293334850157586
2020,전북,1028,400476,0.002566945335051289
2020,제주,386,165301,0.0023351340887229964
2020,충남,1203,511798,0.0023505367351963078
2020,충북,758,393886,0.001924414678358713
