시도,구군,신설법인수,year
경기,시흥시,1085,2019
경기,안산시,1783,2019
경기,안성시,435,2019
경기,안양시,1117,2019
경기,양주시,571,2019
경기,양평군,289,2019
경기,여주시,233,2019
경기,연천군,100,2019
경기,오산시,377,2019
경기,용인시,3483,2019
경기,의왕시,211,2019
경기,의정부시,398,2019
경기,이천시,391,2019
경기,파주시,1426,2019
경기,평택시,1219,2019
경기,포천시,459,2019
경기,하남시,585,2019
경기,화성시,3059,2019
경남,거제시,341,2019
경남,거창군,131,2019
경남,고성군,118,2019
경남,김해시,882,2019
경남,남해군,44,2019
경남,밀양시,148,2019
경남,사천시,149,2019
경남,산청군,78,2019
경남,양산시,452,2019
경남,의령군,46,2019
경남,진주시,373,2019
경남,창녕군,106,2019
경남,창원시,1056,2019
경남,통영시,147,2019
경남,하동군,87,2019
경남,함안군,181,2019
경남,함양군,62,2019
경남,합천군,101,2019
경북,경산시,370,2019
경북,경주시,449,2019
경북,고령군,66,2019
경북,구미시,584,2019
경북,군위군,48,2019
경북,김천시,226,2019
경북,문경시,90,2019
경북,봉화군,53,2019
경북,상주시,111,2019
경북,성주군,124,2019
경북,안동시,252,2019
경북,영덕군,66,2019
경북,영양군,21,2019
경북,영주시,143,2019
경북,영천시,191,2019
경북,예천군,74,2019
경북,울릉군,14,2019
경북,울진군,54,2019
경북,의성군,96,2019
경북,청도군,108,2019
경북,청송군,30,2019
경북,칠곡군,291,2019
경북,포항시,573,2019
광주,광산구,953,2019
광주,남구,418,2019
광주,동구,377,2019
광주,북구,1101,2019
광주,서구,1005,2019
대구,남구,229,2019
대구,달서구,642,2019
대구,달성군,328,2019
대구,동구,533,2019
대구,북구,514,2019
대구,서구,220,2019
대구,수성구,716,2019
대구,중구,369,2019
대전,대덕구,337,2019
대전,동구,295,2019
대전,서구,916,2019
대전,유성구,909,2019
대전,중구,330,2019
부산,강서구,628,2019
부산,금정구,356,2019
부산,기장군,259,2019
부산,남구,378,2019
부산,동구,259,2019
부산,동래구,330,2019
부산,부산진구,543,2019
부산,북구,159,2019
부산,사상구,414,2019
부산,사하구,272,2019
부산,서구,108,2019
부산,수영구,304,2019
부산,연제구,364,2019
부산,영도구,111,2019
부산,중구,249,2019
부산,해운대구,946,2019
서울,강남구,6968,2019
서울,강동구,578,2019
서울,강북구,280,2019
서울,강서구,1366,2019
서울,관악구,478,2019
서울,광진구,594,2019
서울,구로구,1602,2019
서울,금천구,1948,2019
서울,노원구,332,2019
서울,도봉구,214,2019
서울,동대문구,521,2019
서울,동작구,403,2019
서울,마포구,2022,2019
서울,서대문구,531,2019
서울,서초구,3645,2019
서울,성동구,1350,2019
서울,성북구,400,2019
서울,송파구,2135,2019
서울,양천구,446,2019
서울,영등포구,4276,2019
서울,용산구,770,2019
서울,은평구,408,2019
서울,종로구,1051,2019
서울,중구,1640,2019
서울,중랑구,309,2019
울산,남구,527,2019
울산,동구,130,2019
울산,북구,173,2019
울산,울주군,427,2019
울산,중구,195,2019
인천,강화군,136,2019
인천,계양구,352,2019
인천,남동구,892,2019
인천,동구,142,2019
인천,미추홀구,476,2019
인천,부평구,593,2019
인천,서구,999,2019
인천,연수구,1000,2019
인천,옹진군,48,2019
인천,중구,350,2019
전남,강진군,90,2019
전남,고흥군,123,2019
전남,곡성군,61,2019
전남,광양시,227,2019
전남,구례군,45,2019
전남,나주시,409,2019
전남,담양군,143,2019
전남,목포시,355,2019
전남,무안군,193,2019
전남,보성군,74,2019
전남,순천시,457,2019
전남,신안군,177,2019
전남,여수시,414,2019
전남,영광군,123,2019
전남,영암군,301,2019
전남,완도군,137,2019
전남,장성군,179,2019
전남,장흥군,105,2019
전남,진도군,56,2019
전남,함평군,84,2019
전남,해남군,194,2019
전남,화순군,145,2019
전북,고창군,88,2019
전북,군산시,585,2019
전북,김제시,176,2019
전북,남원시,178,2019
전북,무주군,39,2019
전북,부안군,121,2019
전북,순창군,50,2019
전북,완주군,265,2019
전북,익산시,463,2019
전북,임실군,31,2019
전북,장수군,62,2019
전북,전주시,1266,2019
전북,정읍시,196,2019
전북,진안군,65,2019
제주,서귀포시,282,2019
제주,제주시,1211,2019
충남,계룡시,41,2019
충남,공주시,192,2019
충남,금산군,145,2019
충남,논산시,191,2019
충남,당진시,362,2019
충남,보령시,176,2019
충남,부여군,123,2019
충남,서산시,252,2019
충남,서천군,67,2019
충남,아산시,633,2019
충남,예산군,127,2019
충남,천안시,1423,2019
충남,청양군,61,2019
충남,태안군,123,2019
충남,홍성군,137,2019
충북,괴산군,89,2019
충북,단양군,52,2019
충북,보은군,52,2019
충북,영동군,66,2019
충북,옥천군,75,2019
충북,음성군,349,2019
충북,제천시,179,2019
충북,증평군,45,2019
충북,진천군,203,2019
충북,청주시,1269,2019
충북,충주시,325,2019
세종,세종시,742,2019
강원,강릉시,310,2020
강원,고성군,67,2020
강원,동해시,124,2020
강원,삼척시,119,2020
강원,속초시,117,2020
강원,양구군,49,2020
강원,양양군,65,2020
강원,영월군,65,2020
강원,원주시,674,2020
강원,인제군,56,2020
강원,정선군,79,2020
강원,철원군,73,2020
강원,춘천시,500,2020
강원,태백시,80,2020
강원,평창군,143,2020
강원,홍천군,151,2020
강원,화천군,36,2020
강원,횡성군,100,2020
경기,가평군,180,2020
경기,고양시,1980,2020
