시도,구군,신설법인수
강원,강릉시,310
강원,고성군,67
강원,동해시,124
강원,삼척시,119
강원,속초시,117
강원,양구군,49
강원,양양군,65
강원,영월군,65
강원,원주시,674
강원,인제군,56
강원,정선군,79
강원,철원군,73
강원,춘천시,500
강원,태백시,80
강원,평창군,143
강원,홍천군,151
강원,화천군,36
강원,횡성군,100
경기,가평군,180
경기,고양시,1980
경기,과천시,73
경기,광명시,435
경기,광주시,1139
경기,구리시,357
경기,군포시,404
경기,김포시,2126
경기,남양주시,1839
경기,동두천시,167
경기,부천시,1499
경기,성남시,2393
경기,수원시,1735
경기,시흥시,1309
경기,안산시,2502
경기,안성시,517
경기,안양시,1083
경기,양주시,822
경기,양평군,364
경기,여주시,263
경기,연천군,108
경기,오산시,509
경기,용인시,4946
경기,의왕시,184
경기,의정부시,532
경기,이천시,450
경기,파주시,1796
경기,평택시,1578
경기,포천시,547
경기,하남시,844
경기,화성시,3957
경남,거제시,329
경남,거창군,111
경남,고성군,111
경남,김해시,934
경남,남해군,54
경남,밀양시,161
경남,사천시,137
경남,산청군,70
경남,양산시,522
경남,의령군,55
경남,진주시,422
경남,창녕군,120
경남,창원시,1183
경남,통영시,173
경남,하동군,75
경남,함안군,172
경남,함양군,80
경남,합천군,56
경북,경산시,470
경북,경주시,473
경북,고령군,72
경북,구미시,678
경북,군위군,46
경북,김천시,249
경북,문경시,104
경북,봉화군,72
경북,상주시,113
경북,성주군,151
경북,안동시,245
경북,영덕군,66
경북,영양군,27
경북,영주시,120
경북,영천시,175
경북,예천군,81
경북,울릉군,13
경북,울진군,50
경북,의성군,87
경북,청도군,73
경북,청송군,36
경북,칠곡군,272
경북,포항시,652
광주,광산구,1079
광주,남구,346
광주,동구,430
광주,북구,1245
광주,서구,1084
대구,남구,251
대구,달서구,768
대구,달성군,365
대구,동구,548
대구,북구,557
대구,서구,245
대구,수성구,849
대구,중구,377
대전,대덕구,351
대전,동구,332
대전,서구,1071
대전,유성구,1045
대전,중구,390
부산,강서구,582
부산,금정구,351
부산,기장군,337
부산,남구,411
부산,동구,287
부산,동래구,359
부산,부산진구,634
부산,북구,218
부산,사상구,392
부산,사하구,249
부산,서구,200
부산,수영구,344
부산,연제구,460
부산,영도구,106
부산,중구,228
부산,해운대구,1096
서울,강남구,7628
서울,강동구,668
서울,강북구,318
서울,강서구,1645
서울,관악구,526
서울,광진구,687
서울,구로구,1685
서울,금천구,1951
서울,노원구,357
서울,도봉구,241
서울,동대문구,567
서울,동작구,370
서울,마포구,1822
서울,서대문구,603
서울,서초구,3545
서울,성동구,1373
서울,성북구,416
서울,송파구,2171
서울,양천구,462
서울,영등포구,4816
서울,용산구,852
서울,은평구,466
서울,종로구,1029
서울,중구,1362
서울,중랑구,311
울산,남구,633
울산,동구,139
울산,북구,235
울산,울주군,464
울산,중구,234
인천,강화군,159
인천,계양구,348
인천,남동구,999
인천,동구,138
인천,미추홀구,404
인천,부평구,624
인천,서구,1291
인천,연수구,1279
인천,옹진군,28
인천,중구,396
전남,강진군,88
전남,고흥군,121
전남,곡성군,59
전남,광양시,261
전남,구례군,33
전남,나주시,416
전남,담양군,151
전남,목포시,450
전남,무안군,194
전남,보성군,84
전남,순천시,418
전남,신안군,98
전남,여수시,470
전남,영광군,117
전남,영암군,348
전남,완도군,84
전남,장성군,174
전남,장흥군,72
전남,진도군,45
전남,함평군,97
전남,해남군,178
전남,화순군,159
전북,고창군,134
전북,군산시,649
전북,김제시,290
전북,남원시,185
전북,무주군,66
전북,부안군,123
전북,순창군,60
전북,완주군,262
전북,익산시,562
전북,임실군,65
전북,장수군,40
전북,전주시,1364
전북,정읍시,248
전북,진안군,59
제주,서귀포시,377
제주,제주시,1238
충남,계룡시,53
충남,공주시,278
충남,금산군,155
충남,논산시,220
충남,당진시,372
충남,보령시,208
충남,부여군,123
충남,서산시,253
충남,서천군,99
충남,아산시,758
충남,예산군,133
충남,천안시,1632
충남,청양군,58
충남,태안군,113
충남,홍성군,184
충북,괴산군,105
충북,단양군,42
충북,보은군,50
충북,영동군,60
충북,옥천군,109
충북,음성군,444
충북,제천시,207
충북,증평군,48
충북,진천군,197
충북,청주시,1558
충북,충주시,383
세종시,세종시,873
