시도,구군,신설법인수
강원,강릉시,259
강원,고성군,59
강원,동해시,100
강원,삼척시,113
강원,속초시,92
강원,양구군,43
강원,양양군,44
강원,영월군,74
강원,원주시,536
강원,인제군,47
강원,정선군,70
강원,철원군,59
강원,춘천시,406
강원,태백시,104
강원,평창군,102
강원,홍천군,135
강원,화천군,30
강원,횡성군,85
경기,가평군,150
경기,고양시,1905
경기,과천시,71
경기,광명시,360
경기,광주시,942
경기,구리시,273
경기,군포시,379
경기,김포시,1862
경기,남양주시,1288
경기,동두천시,111
경기,부천시,1464
경기,성남시,2197
경기,수원시,1637
경기,시흥시,1085
경기,안산시,1783
경기,안성시,435
경기,안양시,1117
경기,양주시,571
경기,양평군,289
경기,여주시,233
경기,연천군,100
경기,오산시,377
경기,용인시,3483
경기,의왕시,211
경기,의정부시,398
경기,이천시,391
경기,파주시,1426
경기,평택시,1219
경기,포천시,459
경기,하남시,585
경기,화성시,3059
경남,거제시,341
경남,거창군,131
경남,고성군,118
경남,김해시,882
경남,남해군,44
경남,밀양시,148
경남,사천시,149
경남,산청군,78
경남,양산시,452
경남,의령군,46
경남,진주시,373
경남,창녕군,106
경남,창원시,1056
경남,통영시,147
경남,하동군,87
경남,함안군,181
경남,함양군,62
경남,합천군,101
경북,경산시,370
경북,경주시,449
경북,고령군,66
경북,구미시,584
경북,군위군,48
경북,김천시,226
경북,문경시,90
경북,봉화군,53
경북,상주시,111
경북,성주군,124
경북,안동시,252
경북,영덕군,66
경북,영양군,21
경북,영주시,143
경북,영천시,191
경북,예천군,74
경북,울릉군,14
경북,울진군,54
경북,의성군,96
경북,청도군,108
경북,청송군,30
경북,칠곡군,291
경북,포항시,573
광주,광산구,953
광주,남구,418
광주,동구,377
광주,북구,1101
광주,서구,1005
대구,남구,229
대구,달서구,642
대구,달성군,328
대구,동구,533
대구,북구,514
대구,서구,220
대구,수성구,716
대구,중구,369
대전,대덕구,337
대전,동구,295
대전,서구,916
대전,유성구,909
대전,중구,330
부산,강서구,628
부산,금정구,356
부산,기장군,259
부산,남구,378
부산,동구,259
부산,동래구,330
부산,부산진구,543
부산,북구,159
부산,사상구,414
부산,사하구,272
부산,서구,108
부산,수영구,304
부산,연제구,364
부산,영도구,111
부산,중구,249
부산,해운대구,946
서울,강남구,6968
서울,강동구,578
서울,강북구,280
서울,강서구,1366
서울,관악구,478
서울,광진구,594
서울,구로구,1602
서울,금천구,1948
서울,노원구,332
서울,도봉구,214
서울,동대문구,521
서울,동작구,403
서울,마포구,2022
서울,서대문구,531
서울,서초구,3645
서울,성동구,1350
서울,성북구,400
서울,송파구,2135
서울,양천구,446
서울,영등포구,4276
서울,용산구,770
서울,은평구,408
서울,종로구,1051
서울,중구,1640
서울,중랑구,309
울산,남구,527
울산,동구,130
울산,북구,173
울산,울주군,427
울산,중구,195
인천,강화군,136
인천,계양구,352
인천,남동구,892
인천,동구,142
인천,미추홀구,476
인천,부평구,593
인천,서구,999
인천,연수구,1000
인천,옹진군,48
인천,중구,350
전남,강진군,90
전남,고흥군,123
전남,곡성군,61
전남,광양시,227
전남,구례군,45
전남,나주시,409
전남,담양군,143
전남,목포시,355
전남,무안군,193
전남,보성군,74
전남,순천시,457
전남,신안군,177
전남,여수시,414
전남,영광군,123
전남,영암군,301
전남,완도군,137
전남,장성군,179
전남,장흥군,105
전남,진도군,56
전남,함평군,84
전남,해남군,194
전남,화순군,145
전북,고창군,88
전북,군산시,585
전북,김제시,176
전북,남원시,178
전북,무주군,39
전북,부안군,121
전북,순창군,50
전북,완주군,265
전북,익산시,463
전북,임실군,31
전북,장수군,62
전북,전주시,1266
전북,정읍시,196
전북,진안군,65
제주,서귀포시,282
제주,제주시,1211
충남,계룡시,41
충남,공주시,192
충남,금산군,145
충남,논산시,191
충남,당진시,362
충남,보령시,176
충남,부여군,123
충남,서산시,252
충남,서천군,67
충남,아산시,633
충남,예산군,127
충남,천안시,1423
충남,청양군,61
충남,태안군,123
충남,홍성군,137
충북,괴산군,89
충북,단양군,52
충북,보은군,52
충북,영동군,66
충북,옥천군,75
충북,음성군,349
충북,제천시,179
충북,증평군,45
충북,진천군,203
충북,청주시,1269
충북,충주시,325
세종시,세종시,742
