,CODE,시도명,시군구명,신설법인수
193,50110,제주특별자치도,제주시,1238
194,43150,충청북도,제천시,207
195,11110,서울특별시,종로구,1029
196,11140,서울특별시,중구,2987
197,26110,부산광역시,중구,2987
198,27110,대구광역시,중구,2987
199,28110,인천광역시,중구,2987
200,30140,대전광역시,중구,2987
201,31110,울산광역시,중구,2987
202,11260,서울특별시,중랑구,311
203,43745,충청북도,증평군,48
204,46900,전라남도,진도군,45
205,45720,전라북도,진안군,59
206,48170,경상남도,진주시,422
207,43750,충청북도,진천군,197
208,48740,경상남도,창녕군,120
209,48121,경상남도,창원시,1183
210,48123,경상남도,창원시,1183
211,48125,경상남도,창원시,1183
212,48127,경상남도,창원시,1183
213,48129,경상남도,창원시,1183
214,44131,충청남도,천안시,1632
215,44133,충청남도,천안시,1632
216,42780,강원도,철원군,73
217,47820,경상북도,청도군,73
218,47750,경상북도,청송군,36
219,44790,충청남도,청양군,58
220,43111,충청북도,청주시,1558
221,43112,충청북도,청주시,1558
222,43113,충청북도,청주시,1558
223,43114,충청북도,청주시,1558
224,42110,강원도,춘천시,500
225,43130,충청북도,충주시,383
226,47850,경상북도,칠곡군,272
227,42190,강원도,태백시,80
228,44825,충청남도,태안군,113
229,48220,경상남도,통영시,173
230,41480,경기도,파주시,1796
231,42760,강원도,평창군,143
232,41220,경기도,평택시,1578
233,41650,경기도,포천시,547
234,47111,경상북도,포항시,652
235,47113,경상북도,포항시,652
236,41450,경기도,하남시,844
237,48850,경상남도,하동군,75
238,48730,경상남도,함안군,172
239,48870,경상남도,함양군,80
240,46860,전라남도,함평군,97
241,48890,경상남도,합천군,56
242,46820,전라남도,해남군,178
243,26350,부산광역시,해운대구,1096
244,44800,충청남도,홍성군,184
245,42720,강원도,홍천군,151
246,41590,경기도,화성시,3957
247,46790,전라남도,화순군,159
248,42790,강원도,화천군,36
249,42730,강원도,횡성군,100
